"reachNumber","reachID","length","width","depth","localArea","localPET","localCin","d","connect","order","lake"
9932,22724775,1444,24.1917953702926,0.6342883418415,15848100,0.005,10,0.1,"22723783",2,0
7765,22721631,257,4.99071690128923,0.210103416044919,75600,0.005,10,0.1,"22723911",1,0
9622,22723915,231,2.43566515495748,0.127160248258286,442800,0.005,10,0.1,"22723913",1,0
9618,22721657,909,2.67832617773132,0.135901260610525,420300,0.005,10,0.1,"22723915",1,0
9501,22721647,864,2.29745471052589,0.122065217761543,372600,0.005,10,0.1,"22723925",1,0
9640,22721763,230,5.09577678169616,0.213189757670644,70200,0.005,10,0.1,"22723931",2,0
9469,22721769,850,4.40271937803193,0.192452591074836,1036800,0.005,10,0.1,"22723939",2,0
10028,22724755,181,4.64365537436667,0.199765757278395,195300,0.005,10,0.1,"22723945",1,0
8338,22721905,1999,4.72900084319292,0.202328766097237,4761900,0.005,10,0.1,"22723977",1,0
9575,22721957,63,2.72202524260373,0.1374496261001,2700,0.005,10,0.1,"22723979",1,0
9483,22721835,61,3.67322388652833,0.169532216005654,1800,0.005,10,0.1,"22723985",1,0
7737,22721991,246,5.47645686553388,0.224217150480665,176400,0.005,10,0.1,"22723999",1,0
9524,22721901,661,5.28325441328849,0.21865032444817,321300,0.005,10,0.1,"22724003",2,0
9428,22724011,95,2.54953406289007,0.131293018183376,2700,0.005,10,0.1,"22724007",1,0
8384,22722097,85,5.60648059461001,0.227930417120769,29700,0.005,10,0.1,"22724049",1,0
10100,22724055,315,4.95310107527669,0.208993650709997,320400,0.005,10,0.1,"22724051,22724053",2,0
7841,22723581,1055,5.0279452232809,0.211199280977559,356400,0.005,10,0.1,"22724055",2,0
8718,22722231,1008,2.97417175899982,0.14624306846262,678600,0.005,10,0.1,"22724085",1,0
9702,22722425,1225,2.46894107871001,0.128373850231458,1073700,0.005,10,0.1,"22724133",1,0
8789,22724161,179,4.62166258117306,0.19910300909056,355500,0.005,10,0.1,"22724163",2,0
9663,22724239,1851,3.34795569415747,0.158878397376633,756900,0.005,10,0.1,"22724217",2,0
8242,22724221,55,4.04740842144414,0.181444154232839,5400,0.005,10,0.1,"22724223,22724229",2,0
8638,22722467,132,2.74027460684357,0.138094034942597,15300,0.005,10,0.1,"22724233",1,0
10076,25037966,238,3.37048302969018,0.159625974037904,62100,0.005,10,0.1,"22724239",2,0
9816,22722779,192,6.21831792650605,0.245069974061363,54900,0.005,10,0.1,"22724287",1,0
8646,22723701,1126,4.46745173034229,0.194428966253715,728100,0.005,10,0.1,"22724303",2,0
8587,22722629,626,3.38312440702031,0.160044825318294,218700,0.005,10,0.1,"22724305",1,0
8695,22723711,796,3.04485210947985,0.148667281961483,672300,0.005,10,0.1,"22724327",1,0
10209,22724337,142,4.43958325023264,0.193579160415329,101700,0.005,10,0.1,"22724339,22724341",2,0
10226,22724375,240,5.71651752388905,0.231052747075155,89100,0.005,10,0.1,"22724371,22724373",2,0
9784,22722963,125,5.73106303705421,0.231464125090333,92700,0.005,10,0.1,"22724375",2,0
9796,22722953,426,2.42954720818738,0.126936581575957,186300,0.005,10,0.1,"22724377",1,0
8605,22724395,452,2.72856222678909,0.137680604079893,549900,0.005,10,0.1,"22724397",1,0
